min_anchor	edit_ratio	dataset	file_id	parakeet_err	fused_err	subs_acoustic	subs_anchor
1	None	primock57	day1_consultation01	2	2	0	0
1	None	primock57	day1_consultation02	3	2	1	0
1	None	primock57	day1_consultation03	3	3	0	0
1	None	primock57	day1_consultation04	2	2	0	0
1	None	primock57	day1_consultation05	6	6	0	0
1	None	primock57	day1_consultation06	5	5	0	0
1	None	primock57	day1_consultation07	8	8	0	0
1	None	primock57	day1_consultation08	2	2	0	0
1	None	primock57	day1_consultation09	3	2	1	0
1	None	primock57	day1_consultation10	8	8	0	0
1	None	primock57	day1_consultation11	2	2	0	0
1	None	primock57	day1_consultation12	4	4	0	0
1	None	primock57	day1_consultation13	7	7	0	0
1	None	primock57	day1_consultation14	3	3	0	0
1	None	primock57	day1_consultation15	4	4	0	0
1	None	primock57	day2_consultation01	1	1	0	0
1	None	primock57	day2_consultation02	1	1	0	0
1	None	primock57	day2_consultation03	6	6	0	0
1	None	primock57	day2_consultation04	1	1	0	0
1	None	primock57	day2_consultation05	0	0	0	0
1	None	primock57	day2_consultation06	5	5	0	0
1	None	primock57	day2_consultation07	1	1	0	0
1	None	primock57	day2_consultation08	3	3	0	0
1	None	primock57	day2_consultation09	3	3	0	0
1	None	primock57	day2_consultation10	4	4	0	0
1	None	primock57	day3_consultation01	9	9	0	0
1	None	primock57	day3_consultation02	0	0	0	0
1	None	primock57	day3_consultation03	2	2	0	0
1	None	primock57	day3_consultation04	7	7	0	0
1	None	primock57	day3_consultation05	1	1	0	0
1	None	primock57	day3_consultation06	2	2	0	0
1	None	primock57	day3_consultation07	6	6	0	0
1	None	primock57	day3_consultation08	4	4	0	0
1	None	primock57	day3_consultation09	13	13	0	0
1	None	primock57	day3_consultation10	7	7	0	0
1	None	primock57	day4_consultation01	0	0	0	0
1	None	primock57	day4_consultation02	0	0	0	0
1	None	primock57	day4_consultation03	6	6	0	0
1	None	primock57	day4_consultation04	1	1	0	0
1	None	primock57	day4_consultation05	2	2	0	0
1	None	primock57	day4_consultation06	2	2	0	0
1	None	primock57	day4_consultation07	1	1	0	0
1	None	primock57	day4_consultation08	3	3	0	0
1	None	primock57	day4_consultation09	12	10	2	0
1	None	primock57	day4_consultation10	5	5	0	0
1	None	primock57	day5_consultation01	3	3	0	0
1	None	primock57	day5_consultation02	3	3	0	0
1	None	primock57	day5_consultation03	0	0	0	0
1	None	primock57	day5_consultation04	1	1	0	0
1	None	primock57	day5_consultation05	1	1	0	0
1	None	primock57	day5_consultation06	3	3	0	0
1	None	primock57	day5_consultation07	4	4	0	0
1	None	primock57	day5_consultation08	8	8	0	1
1	None	primock57	day5_consultation09	1	1	0	0
1	None	primock57	day5_consultation10	8	8	0	0
1	None	primock57	day5_consultation11	7	7	0	0
1	None	primock57	day5_consultation12	2	2	0	0
1	None	figshare-osce	CAR0001	0	0	0	0
1	None	figshare-osce	CAR0002	11	9	2	0
1	None	figshare-osce	CAR0003	3	2	0	1
1	None	figshare-osce	CAR0004	2	2	0	0
1	None	figshare-osce	CAR0005	0	0	0	0
1	None	figshare-osce	DER0001	5	5	0	0
1	None	figshare-osce	GAS0001	0	0	0	0
1	None	figshare-osce	GAS0002	0	0	0	0
1	None	figshare-osce	GAS0003	1	1	0	0
1	None	figshare-osce	GAS0004	0	0	0	0
1	None	figshare-osce	GAS0005	0	0	0	0
1	None	figshare-osce	GAS0007	2	2	0	0
1	None	figshare-osce	GEN0001	0	0	0	0
1	None	figshare-osce	MSK0001	1	1	0	0
1	None	figshare-osce	MSK0003	0	0	0	0
1	None	figshare-osce	MSK0004	4	4	0	0
1	None	figshare-osce	MSK0005	3	3	0	0
1	None	figshare-osce	MSK0006	2	1	0	1
1	None	figshare-osce	MSK0007	0	0	0	0
1	None	figshare-osce	MSK0008	1	1	0	0
1	None	figshare-osce	MSK0009	2	1	1	0
1	None	figshare-osce	MSK0010	2	2	0	0
1	None	figshare-osce	MSK0011	2	2	0	0
1	None	figshare-osce	MSK0012	1	1	0	0
1	None	figshare-osce	MSK0013	3	2	1	0
1	None	figshare-osce	MSK0014	2	2	0	0
1	None	figshare-osce	MSK0015	1	1	0	0
1	None	figshare-osce	MSK0016	3	3	0	0
1	None	figshare-osce	MSK0017	4	4	0	0
1	None	figshare-osce	MSK0018	0	0	0	0
1	None	figshare-osce	MSK0019	1	1	0	0
1	None	figshare-osce	MSK0020	6	5	0	1
1	None	figshare-osce	MSK0021	2	2	0	0
1	None	figshare-osce	MSK0022	1	1	0	0
1	None	figshare-osce	MSK0023	0	0	0	0
1	None	figshare-osce	MSK0024	2	2	0	0
1	None	figshare-osce	MSK0025	2	2	0	0
1	None	figshare-osce	MSK0026	2	2	0	0
1	None	figshare-osce	MSK0027	0	0	0	0
1	None	figshare-osce	MSK0028	0	0	0	0
1	None	figshare-osce	MSK0029	4	2	0	1
1	None	figshare-osce	MSK0031	4	3	1	0
1	None	figshare-osce	MSK0032	2	2	0	0
1	None	figshare-osce	MSK0033	1	0	1	0
1	None	figshare-osce	MSK0034	0	0	0	0
1	None	figshare-osce	MSK0035	0	0	0	0
1	None	figshare-osce	MSK0036	0	0	0	0
1	None	figshare-osce	MSK0037	0	0	0	0
1	None	figshare-osce	MSK0038	2	2	0	0
1	None	figshare-osce	MSK0039	0	0	0	0
1	None	figshare-osce	MSK0040	0	0	0	0
1	None	figshare-osce	MSK0041	4	4	0	0
1	None	figshare-osce	MSK0042	0	0	0	0
1	None	figshare-osce	MSK0043	2	1	0	1
1	None	figshare-osce	MSK0044	1	1	0	0
1	None	figshare-osce	MSK0045	2	2	0	0
1	None	figshare-osce	MSK0046	1	1	0	0
1	None	figshare-osce	MSK0049	6	5	1	0
1	None	figshare-osce	MSK0050	1	1	0	0
1	None	figshare-osce	RES0001	1	1	0	0
1	None	figshare-osce	RES0002	0	0	0	0
1	None	figshare-osce	RES0003	1	1	0	0
1	None	figshare-osce	RES0004	3	3	0	0
1	None	figshare-osce	RES0005	3	1	1	1
1	None	figshare-osce	RES0006	0	0	0	0
1	None	figshare-osce	RES0007	0	0	0	0
1	None	figshare-osce	RES0008	2	2	0	0
1	None	figshare-osce	RES0009	0	0	0	0
1	None	figshare-osce	RES0010	0	0	0	0
1	None	figshare-osce	RES0011	4	5	0	1
1	None	figshare-osce	RES0012	4	4	0	0
1	None	figshare-osce	RES0013	1	1	0	0
1	None	figshare-osce	RES0014	1	1	0	0
1	None	figshare-osce	RES0015	2	2	0	0
