pattern	dataset	n_errors
NEGATION_FLIP	ALL	4539
NEGATION_FLIP	primock57	288
NEGATION_FLIP	figshare-osce	3630
NEGATION_FLIP	nazmulkazi	503
NEGATION_FLIP	kokoro-va-sample	118
LATERALITY	ALL	283
LATERALITY	primock57	69
LATERALITY	figshare-osce	100
LATERALITY	nazmulkazi	78
LATERALITY	kokoro-va-sample	36
PRONOUN	ALL	131
PRONOUN	primock57	17
PRONOUN	figshare-osce	36
PRONOUN	nazmulkazi	77
PRONOUN	kokoro-va-sample	1
NUMERIC	ALL	2550
NUMERIC	primock57	370
NUMERIC	figshare-osce	1004
NUMERIC	nazmulkazi	552
NUMERIC	kokoro-va-sample	624
